iter	RMSE
0	19.51724967
1	19.34576294
2	19.24169857
3	19.09674169
4	18.9617671
5	18.8497933
6	18.76443259
7	18.62960263
8	18.49422776
9	18.39227109
10	18.25776634
11	18.19034263
12	18.10734225
13	17.99754235
14	17.92427943
15	17.82722363
16	17.73480992
17	17.66157996
18	17.59321313
19	17.50382683
20	17.41045304
21	17.34853813
22	17.26365619
23	17.17916074
24	17.10184868
25	17.03553081
26	16.94981419
27	16.84564793
28	16.77263085
29	16.69794534
30	16.63711345
31	16.55618541
32	16.49168378
33	16.43963601
34	16.36981682
35	16.30223744
36	16.24181347
37	16.19024407
38	16.14470836
39	16.07580778
40	16.03428876
41	15.98870859
42	15.92558284
43	15.86081858
44	15.77581128
45	15.72131308
46	15.6845823
47	15.64413035
48	15.58267008
49	15.53189658
50	15.48973565
51	15.43916956
52	15.38953878
53	15.33985544
54	15.28609866
55	15.20806053
56	15.1455581
57	15.11159355
58	15.05609597
59	14.98919822
60	14.94015674
61	14.88879512
62	14.83156242
63	14.79120705
64	14.75177395
65	14.69478941
66	14.6572637
67	14.62886875
68	14.5796275
69	14.54272003
70	14.48846273
71	14.43732674
72	14.37904223
73	14.34206446
74	14.31074664
75	14.28019476
76	14.24756872
77	14.20612741
78	14.17196443
79	14.14707228
80	14.11101943
81	14.07855491
82	14.04406427
83	14.00103766
84	13.94458541
85	13.90620503
86	13.8660982
87	13.84268263
88	13.81169209
89	13.76915099
90	13.71899801
91	13.67658269
92	13.64210648
93	13.61078068
94	13.53152277
95	13.50349981
96	13.46967038
97	13.43153289
98	13.39468556
99	13.34335384
100	13.31123792
101	13.2791941
102	13.2437143
103	13.20875314
104	13.16572856
105	13.12545848
106	13.09229607
107	13.04871359
108	13.0187117
109	12.9685488
110	12.93337973
111	12.90530692
112	12.87234911
113	12.82781001
114	12.80130429
115	12.74736766
116	12.70276388
117	12.67371811
118	12.64334382
119	12.60466162
120	12.56640562
121	12.5355792
122	12.49879609
123	12.47402414
124	12.44396252
125	12.40304813
126	12.37632923
127	12.33570051
128	12.3128025
129	12.29231163
130	12.2597624
131	12.23708317
132	12.21296295
133	12.17230321
134	12.12467967
135	12.08654055
136	12.06347729
137	12.02185277
138	12.00470063
139	11.97949279
140	11.94236368
141	11.90112167
142	11.86549851
143	11.83483778
144	11.81031137
145	11.75651765
146	11.73142499
147	11.70331878
148	11.66980232
149	11.63157972
150	11.60962423
151	11.59036486
152	11.56269665
153	11.5271157
154	11.48075371
155	11.44548981
156	11.41997451
157	11.39377885
158	11.35479623
159	11.32028436
160	11.2872742
161	11.25951554
162	11.22970284
163	11.19347142
164	11.16430524
165	11.14595938
166	11.11662467
167	11.09388342
168	11.06721886
169	11.03320187
170	11.00267478
171	10.97018772
172	10.9455738
173	10.90166157
174	10.88187043
175	10.85609447
176	10.82406222
177	10.79206201
178	10.75899572
179	10.72069762
180	10.69882543
181	10.66439651
182	10.6269067
183	10.60095021
184	10.58541563
185	10.5575418
186	10.52410922
187	10.50285935
188	10.46594383
189	10.43534221
190	10.41626637
191	10.39624267
192	10.36811367
193	10.3416659
194	10.31829165
195	10.29891839
196	10.27743957
197	10.25351909
198	10.22200414
199	10.18863059
200	10.17047309
201	10.13153856
202	10.09589402
203	10.05936771
204	10.02806441
205	9.996353545
206	9.974303698
207	9.947271986
208	9.906702637
209	9.869475494
210	9.829447879
211	9.79883611
212	9.779884225
213	9.739023358
214	9.714843774
215	9.669954309
216	9.641705228
217	9.620782585
218	9.605388904
219	9.567109507
220	9.528860115
221	9.502879547
222	9.476073289
223	9.44375353
224	9.423196729
225	9.400261658
226	9.370092194
227	9.347420235
228	9.317504143
229	9.291743736
230	9.25191572
231	9.227222778
232	9.198661702
233	9.164743947
234	9.125674176
235	9.113323686
236	9.098012923
237	9.079749858
238	9.060727124
239	9.029279673
240	9.012390112
241	8.995324524
242	8.957773735
243	8.942339544
244	8.920724271
245	8.889199231
246	8.846823546
247	8.819102835
248	8.795169355
249	8.763059315
250	8.739201209
251	8.71067039
252	8.677750977
253	8.651595971
254	8.617401581
255	8.596537315
256	8.557696354
257	8.529698839
258	8.502497435
259	8.482388692
260	8.457593034
261	8.436350167
262	8.41391094
263	8.372959982
264	8.347527208
265	8.325660619
266	8.290853894
267	8.267922109
268	8.238842679
269	8.220278542
270	8.184844493
271	8.162874248
272	8.135963455
273	8.11006974
274	8.086726347
275	8.072231186
276	8.066689413
277	8.037902417
278	8.019596054
279	7.983224803
280	7.96523959
281	7.942771374
282	7.908401952
283	7.874470662
284	7.843834962
285	7.818314385
286	7.797174746
287	7.77101377
288	7.743539878
289	7.722681072
290	7.704541777
291	7.686562762
292	7.664698494
293	7.640128276
294	7.616110524
295	7.59381936
