iter	RMSE
239	9.729833258
240	9.707751399
241	9.701696159
242	9.673657711
243	9.647219201
244	9.613813228
245	9.598611233
246	9.578610252
247	9.536860855
248	9.491695831
249	9.486974392
250	9.458886137
251	9.419987653
252	9.409784882
253	9.389320389
254	9.380047326
255	9.349186976
256	9.337638369
257	9.321762519
258	9.29604404
259	9.283178018
260	9.250428096
261	9.243026496
262	9.220914032
263	9.190693968
264	9.168685369
265	9.161384073
266	9.139597127
267	9.13087157
268	9.093788022
269	9.07555822
270	9.055936045
271	9.031972778
272	9.003448417
273	8.982673711
274	8.95682807
275	8.931769619
276	8.916138877
277	8.896505402
278	8.877339778
279	8.834983296
280	8.809441659
281	8.789179113
282	8.756970915
283	8.749923417
284	8.729639409
285	8.711804439
286	8.687237697
287	8.654778433
288	8.632341539
289	8.613523234
290	8.60046364
291	8.585486601
292	8.548251562
293	8.532148062
294	8.517665204
295	8.499931775
296	8.493732874
297	8.474419391
298	8.462719358
299	8.440118688
300	8.420722252
301	8.405312043
302	8.36814706
303	8.361516635
304	8.341059019
305	8.321371647
306	8.302340971
307	8.273013142
308	8.254222247
309	8.234484166
310	8.205272607
311	8.182556236
312	8.162288638
313	8.144569721
314	8.134380803
315	8.121543218
316	8.096735515
317	8.067507445
318	8.050001546
319	8.016913839
320	8.004696643
321	7.983799697
322	7.970932292
323	7.947314501
324	7.927331391
325	7.906533248
326	7.869313096
327	7.85219949
328	7.824632083
329	7.789852056
330	7.773390906
331	7.75372071
332	7.725533427
333	7.706395154
334	7.692978567
335	7.679875559
336	7.660640853
337	7.646795894
338	7.628459279
339	7.596926076
340	7.565445154
341	7.549706148
342	7.527298777
343	7.523289249
344	7.509949456
345	7.485578436
346	7.453361394
347	7.422402768
348	7.399267692
349	7.38390354
350	7.359042833
351	7.355856453
352	7.336560198
353	7.32587701
354	7.318012899
355	7.293905434
356	7.276467818
357	7.253766655
358	7.248782216
359	7.230564431
360	7.224246877
361	7.191726949
362	7.182258027
363	7.159532459
364	7.136643253
365	7.105172462
366	7.084700155
367	7.070781127
368	7.043841508
369	7.013117224
370	6.988989594
371	6.955322452
372	6.934881717
373	6.911490776
374	6.888733373
375	6.885266302
376	6.865393703
377	6.842117674
378	6.821067785
379	6.809259012
380	6.791783553
381	6.774188855
382	6.756657397
383	6.727082553
384	6.723410041
385	6.716776271
386	6.705952492
387	6.702584325
388	6.684394171
389	6.660147107
390	6.641452888
391	6.617233701
392	6.586422073
393	6.582477915
394	6.554310448
395	6.535057049
396	6.516166133
397	6.500693084
398	6.495407569
399	6.48137881
400	6.459720323
401	6.449737578
402	6.444293527
403	6.433536292
404	6.414811389
405	6.409340648
406	6.387203994
407	6.374550275
408	6.35291394
409	6.330466615
410	6.323107685
411	6.299801243
412	6.281862776
413	6.263340678
414	6.236944135
415	6.229772191
416	6.212939123
417	6.193591267
418	6.185179601
419	6.180934508
420	6.16364688
421	6.15906289
422	6.141456318
423	6.138148042
424	6.124521004
425	6.108946982
426	6.085059599
427	6.065919386
428	6.044318647
429	6.029801027
430	6.011720331
431	5.991361042
432	5.968615391
433	5.952067741
434	5.940883946
435	5.916712381
436	5.91024747
437	5.90512454
438	5.888700926
439	5.86699052
440	5.85639064
441	5.841706793
442	5.821023452
443	5.806890675
444	5.803919919
445	5.799189123
446	5.779831934
447	5.759971509
448	5.735659552
449	5.72415647
450	5.703976163
451	5.699413394
452	5.683236917
453	5.663016785
454	5.653046124
455	5.634920635
456	5.628515488
457	5.6101868
458	5.595361211
459	5.574105736
460	5.555872159
461	5.538808405
462	5.529340548
463	5.513415452
464	5.505973947
465	5.487688036
466	5.480739444
467	5.46900642
468	5.448822567
469	5.437687258
470	5.420325858
471	5.415322393
472	5.397375015
473	5.378923317
474	5.357639868
475	5.345109494
476	5.328880588
477	5.313757611
478	5.308915845
479	5.290990825
480	5.279196977
481	5.267800298
482	5.262487312
483	5.249708212
484	5.23568911
485	5.219008623
486	5.19956581
487	5.196127562
488	5.179909048
489	5.164851969
490	5.154365278
491	5.145133437
492	5.130627737
493	5.118156506
494	5.101580572
495	5.098325053
496	5.085828886
497	5.069845453
498	5.047639294
499	5.03499312
